Title	URL	ProDisURL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Collection	Notes	AddedUpdated
DocNow Tweet Catalog	https://catalog.docnow.io/	https://www.docnow.io/	Dataset					Document the Now		Collectively curated list of Twitter Datasets. Public Datasets are shared as Tweet IDs, which can be hydrated back into full Datasets using our Hydrator desktop application.				Global	All Regions			English	Health, Racism, Discrimination, Civil and Political Rights	politics, natural disasters, health		AntiRacism		2023-05-08
Elections-Related Legislation Databases	https://www.ncsl.org/research/elections-and-campaigns/elections-legislation-databases-description.aspx	https://www.ncsl.org/research/elections-and-campaigns/elections-legislation-databases-description.aspx	Collection			2001		National Conference of State Legislatures		NCSL's [National Conference of State Legislatures] Elections Legislation Database contains bills from all 50 states and the District of Columbia relating to the administration of elections. Bills are organized into more than 80 categories, and are searchable not only by topic but also by keyword, status, sponsor and bill number. Bill status is updated bi-weekly.		Yes	2001-present	United States of America	Northern America	State		English	Health, Socio-economic-cultural, Youth	children, environment, health, labor, technology		AntiRacism		2023-05-08
Fatal Encounters	https://fatalencounters.org/	https://fatalencounters.org/	Dataset			2000		Fatal Encounters		We try to document all deaths that happen when police are present or that are caused by police: on-duty, off-duty, criminal, line-of-duty, local, federal, intentional, accidental–all of them.			2000-present	United States of America	Northern America			English	Racism, Criminal Justice, Discrimination	police brutality, arrest, imprisonment, deaths		AntiRacism		2023-05-08
Federal Law Enforcement Agency Deaths in Custody Reporting Program (FDCRP)	https://www.bjs.gov/index.cfm?ty=dcdetail&iid=548	https://www.bjs.gov/index.cfm?ty=dcdetail&iid=548	Dataset					Bureau of Justice Statistics US Department of Justice		The Bureau of Justice Statistics (BJS) created the Federal Deaths in Custody Reporting Program (FDCRP) to collect the data required of federal law enforcement agencies. Federal law enforcement agencies are surveyed on an annual basis about deaths that fall under the scope of DICRA [Death in Custody Reporting Act of 2013].				United States of America	Northern America			English	Racism, Criminal Justice, Discrimination	deaths, suicide, arrest, police brutality, homicide		AntiRacism		2023-05-08
Freedom on the Move	https://app.freedomonthemove.org/	https://freedomonthemove.org/	Dataset				1865	Cornell University, University of Alabama, University of New Orleans, University of Kentucky, Ohio State University		Database of fugitives from North American slavery, derived from ads placed in newspapers			colonial period - 1865	United States of America	Northern America			English	Civil and Political Rights, Racism, Discrimination	slaves, freedom, advertising, newspapers		AntiRacism		2023-05-08
Fundamental Rights Agency for Europe (FRA) Surveys	https://search.gesis.org/?type=research_data&study_group=Studien%20der%20European%20Union%20Agency%20for%20Fundamental%20Rights%20(FRA)	http://fra.europa.eu/en/about-fra	Dataset			2016		European Union Agency for Fundamental Rights (FRA)		They run surveys on violence and discrimination against minorities. Data are accessed in GESIS.			2016-present	Italy, Sweden, Slovakia, Romania, Czechia, Belgium, Austria, Denmark, Netherlands, Malta, France, Luxembourg, Poland, Portugal, Bulgaria, Finland, Latvia, Spain, Cyprus, Hungary, Ireland, Lithuania, Germany, Slovenia, Estonia, Greece, Croatia, European Union	Europe	Nation		English	Racism, Discrimination, Opinions and Social Attitudes	minorities, ethnic groups, prejudice, discrimination		AntiRacism		2024-03-09
GenForward	https://genforwardsurvey.com/all-genforward-data/?ft=10	http://blackyouthproject.com/	Project or Pilot			2016		Cathy J Cohen, Black Youth Project	University of Chicago	GenForward Survey project ... is a nationally representative bi-monthly survey of 18-36 year-olds that amplifies the voices of young adults, with oversamples of African American, Asian American, and Latinx young adults. In this section you can find a collection of our toplines, Datasets, codebooks, and field reports.			2016-present	United States of America	Northern America			English	Youth, Discrimination, Racism, Movements, Civil and Political Rights	racism, activism, protest demonstrations, discrimination		AntiRacism		2023-05-08
Hate Crime Statistics	https://www.fbi.gov/services/cjis/ucr/hate-crime	https://www.fbi.gov/services/cjis/ucr/hate-crime	Dataset			1992		Bureau of Justice Statistics US Department of Justice		Thousands of law enforcement agencies voluntarily submit data to the Uniform Crime Reporting Program’s (UCR) Hate Crime Statistics Program on crimes motivated by prejudice based on race, gender and gender identity, religion, disability, sexual orientations, or ethnicity. This effort, which includes data from city, county, college and university, state, tribal, and federal agencies, allows the law enforcement community to recognize and document hate crimes. The collection was created after Congress passed the Hate Crime Statistics Act in 1990.		Yes	1992-present, 1996-present	United States of America	Northern America			English	Discrimination, Racism, Opinions and Social Attitudes, Socio-economic-cultural	discrimination, homophobia, gender stereotypes, white supremacy, religious persecution, disability discrimination		AntiRacism		2023-05-08
Concatenated Uniform Crime Reporting (UCR) Program Data: Hate Crime Data 1991-2018	https://www.openicpsr.org/openicpsr/project/103500/version/V6/view		Dataset			1991	2018	Jacob Kaplan	Inter university Consortium for Political and Social Research ICPSR	Concatenated flat file of DoJ data above.			1991-2018	United States of America	Northern America			English	Discrimination, Racism, Sexuality and Gender Identity, Socio-economic-cultural	racism, homophobia, gender stereotypes, white supremacy, religious persecution, disability discrimination		AntiRacism		2023-05-08
Home Mortgage Disclosure Act (HMDA)	https://www.consumerfinance.gov/data-research/hmda/	https://www.consumerfinance.gov/data-research/hmda/	Dataset			2007		Federal Financial Institutions Examination Council (FFIEC) - Consumer Financial Protection Bureau (CFPB)		The Home Mortgage Disclosure Act (HMDA) requires many financial institutions to maintain, report, and publicly disclose loan-level information about mortgages. These data help show whether lenders are serving the housing needs of their communities; they give public officials information that helps them make decisions and policies; and they shed light on lending patterns that could be discriminatory.		Yes	2007-present	United States of America	Northern America			English	Discrimination, Racism, Socio-economic-cultural	home ownership, loans and debts, real estate, property, mortgages, racism, economics		AntiRacism		2023-05-08
