Title	URL	ProDisURL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Collection	Notes	AddedUpdated
NYPD Member of Service Histories (part of Data Transparency Initiative)	https://www1.nyc.gov/site/ccrb/policy/MOS-records.page	https://www1.nyc.gov/site/ccrb/policy/MOS-records.page	Dataset			2000		New York City Civilian Complaint Review Board		This database allows users to view the record of NYPD misconduct allegations. Click a row to see the officer's allegation history, including the CCRB's [New York City's Civilian Complaint Review Board] disposition, the NYPD's disposition, and the penalty ultimately imposed (if applicable). The CCRB can recommend a level of police discipline, with the Police Commissioner retaining final authority over disciplinary decisions.			2000-present	United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Discrimination	police citizen interactions, citizen grievances, police use of force, victim rights		AntiRacism		2023-05-08
Opportunity Atlas	https://opportunityinsights.org/data/?geographic_level=0&topic=0&paper_id=1652#resource-listing	https://www.opportunityatlas.org/	Collection					Opportunityinsights.org Harvard University		The Opportunity Atlas answers the question, Which neighborhoods in America offer children the best chance to rise out of poverty? Now you can trace the roots of today's affluence and poverty back to the neighborhoods where people grew up using anonymous data that follow 20million Americans from childhood to mid-30s.				United States of America	Northern America	Municipality		English	Socio-economic-cultural	neighborhood characteristics, child development, economic change, income and wealth		AntiRacism		2023-05-08
Police Misconduct Settlements	https://github.com/fivethirtyeight/police-settlements	https://fivethirtyeight.com/features/police-misconduct-costs-cities-millions-every-year-but-thats-where-the-accountability-ends/	Data Journalism			2010	2019	FiveThirtyEight and The Marshall Project		Cities Spend Millions On Police Misconduct Every Year. Here’s Why It’s So Difficult to Hold Departments Accountable			2010–2019	United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Civil and Political Rights	victim compensation, victim rights, police citizen interactions, civil rights		AntiRacism		2023-05-08
Police Scorecard	https://drive.google.com/drive/folders/1XAT1uFPXj5AsvNTzFeNeeTXGLP09HEIh	https://policescorecard.org/	Project or Pilot					Policescorecard.org		The Police Scorecard is the first nationwide public evaluation of policing in the United States. The Scorecard calculates levels of police violence, accountability, racial bias and other policing outcomes for over 16,000 municipal and county law enforcement agencies, covering nearly 100% of the US population. The indicators included in this scorecard were selected based on a review of the research literature, input from activists and experts in the field, and a review of publicly available Datasets on policing from federal, state, and local agencies. This project is designed to help communities, researchers, police leaders and policy-makers take data-informed action to reduce police use of force, increase accountability and reimagine public safety in their jurisdictions.				United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Discrimination	police use of force, prejudice, discrimination, racism, policies and procedures		AntiRacism		2023-05-08
Police-Public Contact Survey (PPCS)	https://bjs.ojp.gov/data-collection/police-public-contact-survey-ppcs	https://bjs.ojp.gov/data-collection/police-public-contact-survey-ppcs	Dataset			1996		Bureau of Justice Statistics US Department of Justice		Provides detailed information on the characteristics of persons who had some type of contact with police during the year, including those who contacted the police to report a crime or were pulled over in a traffic stop. The PPCS interviews a nationally representative sample of residents age 16 or older as a supplement to the National Crime Victimization Survey (NCVS). The survey enables BJS to examine the perceptions of police behavior and response during these encounters.			1996-present	United States of America	Northern America			English	Racism, Criminal Justice	citizen crime reporting, police response		AntiRacism		2023-05-08
Program for Research on Black Americans (PRBA)	https://prba.isr.umich.edu/	https://prba.isr.umich.edu/	Project or Pilot			1976		University of Michigan		PRBA seeks to collect, analyze, and interpret empirical data on African Americans in the United States, as well as international data on people of African descent. A second important goal is to provide research and training opportunities, especially for social scientists and students of color. five thematic areas: Discrimination & Racism; Physical & Mental Health Disparities; Aging & Human Development; Politics & Political Participation; Identity & Migration			1976-present	United States of America	Northern America			English	Health, Racism, Discrimination, Youth, Civil and Political Rights	african americans, discrimination, health disparities or health equity, aging, political participation, youth		AntiRacism	Data archived at ICPSR	2023-05-08
ProPublica Racial Justice	https://www.propublica.org/topics/racial-justice	https://www.propublica.org/topics/racial-justice	Data Journalism					Pro Publica Inc.		an independent, nonprofit newsroom that produces investigative journalism with moral force.				Global	All Regions	Nation		English	Youth, Racism, Discrimination, Social Justice and Equality, Civil and Political Rights, Socio-economic-cultural	discrimination, social justice, civil rights, education		AntiRacism		2023-05-08
Research on Early Life and Aging Trends and Effects (RELATE): A Cross-National Study (ICPSR study #34241)	http://www.icpsr.umich.edu/icpsrweb/DSDR/studies/34241		Dataset			1996	2008	Mary McEniry	Inter university Consortium for Political and Social Research ICPSR	Although ICPSR is a member-supported organization, this cross-national study is open access.			1996-2008	Global	All Regions	Nation		English	Health, Youth, Discrimination, Racism	health, early life conditions, aging, heart disease, obesity, diabetes	No	AntiRacism		2023-05-08
Replication Data for: Black Lives Matter: Evidence that Police- Caused Deaths Predict Protest Activity	https://doi.org/10.7910/DVN/L2GSK6		Dataset			2014	2015	Kris-Stella Trump, Katherine Levin Einstein, Vanessa Williamson		Black Lives Matter protests that took place in 2014–2015			2014–2015	United States of America	Northern America			English	Social Justice and Equality, Movements, Racism, Discrimination	black lives matter, political participation, social activism		AntiRacism		2023-05-08
Report to the Nation: Anti-Asian Prejudice & Hate Crime	https://www.csusb.edu/sites/default/files/Report%20to%20the%20Nation%20-%20Anti-Asian%20Hate%202020%20Final%20Draft%20-%20As%20of%20Apr%2030%202021%206%20PM%20corrected.pdf	https://www.csusb.edu/hate-and-extremism-center/data-reports	Project or Pilot			2020	2021	Center for the Study of Hate and Extremism - California State University San Bernardino		Anti-Asian hate crime reported to police in 16 of America’s largest cities and counties, rose 164%, from 36 to 95, in the first quarter of 2021 in comparison to the first quarter of 2020, according to an analysis of official preliminary data by the Center for the Study of Hate & Extremism (CSHE) at California State University, San Bernardino. Data is available for selected U.S. cities and counties, selected Canadian cities.			2020-2021	United States of America, Canada	Northern America	County, Municipality		English	Racism, Discrimination, Criminal Justice	asian americans, hate crimes, victimization, discrimination		AntiRacism		2023-05-08
NACJD: Annual Survey of Jails in Indian Country Series	https://www.icpsr.umich.edu/web/NACJD/series/158	https://www.icpsr.umich.edu/web/NACJD/series/158	Dataset						Inter university Consortium for Political and Social Research ICPSR	Archives				United States of America	Northern America			English	Criminal Justice, Youth, Indigenous Peoples	jail inmates, youth, detention, native americans, indigenous peoples		AntiRacism		2023-05-08
Resource Center for Minority Data	https://www.icpsr.umich.edu/web/pages/RCMD/anti-racism/	https://www.icpsr.umich.edu/web/pages/RCMD/index.html	Dataset						Inter university Consortium for Political and Social Research ICPSR	Archives				United States of America	Northern America			English	Health, Discrimination, Racism, Socio-economic-cultural	health, poverty, income and wealth, racism		AntiRacism		2023-05-08
Roper Center's surveys specifically of Black Americans from 1945 to 2020 (openly available, but by request)	https://ropercenter.cornell.edu/black-lives-matter	https://ropercenter.cornell.edu/black-lives-matter	Dataset			1945	2000		Roper Center	As we reflect on racism and anti-racism, the Roper Center has identified and is making available all public opinion surveys of Black Americans in the Roper data archive. We highlight these surveys of Black Americans, which span from 1945 to 2020, in order to remember and amplify the voices of these individuals. We are also making more than eight decades of public opinion data on how the U.S. public views Black America available. These data provide historical insight into how racial attitudes have changed in the United States and how the public currently views topics such as police brutality, race relations, and Black Lives Matter. We are making all of the data, which can be accessed below, freely available to the public. If you are not a Roper Center member, contact Data Services to request access.			1945-2000	United States of America	Northern America			English	Racism, Discrimination, Racism, Criminal Justice, Opinions and Social Attitudes, Movements	african americans, racial attitudes, public opinion, police misconduct, social movements	No	AntiRacism		2023-05-08
Second European Union Minorities and Discrimination Survey (EU-MIDIS II), 2016	https://doi.org/10.4232/1.13514	http://fra.europa.eu/en/publication/2017/second-european-union-minorities-and-discrimination-survey-main-results	Dataset			2015	2016	European Union Agency for Fundamental Rights (FRA)		Survey of ethnic minority adults about discrimination, rights awareness			2015-2016	Italy, Sweden, Slovakia, Romania, Czechia, Belgium, Austria, Denmark, Netherlands, Malta, France, Luxembourg, Poland, Portugal, Bulgaria, Finland, Latvia, Spain, Cyprus, Hungary, Ireland, Lithuania, Germany, Slovenia, Estonia, Greece, Croatia, European Union	Europe	Nation		English	Discrimination, Migration and Immigration, Racism, Criminal Justice	ethnic groups, minorities, discrimination, immigrants, victimization	No	AntiRacism		2023-05-08
Segregated in the Heartland: An Investigative Series	https://www.governing.com/archive/illinois-residential-segregation-data-trends-for-metro-areas.html	https://www.governing.com/archive/gov-segregation-series.html	Project or Pilot			2013	2017	Governing		This data is part of a series on segregation in Illinois that resulted from a six-month Governing investigation.			2013-2017	United States of America	Northern America	State, Metropolitan Area		English	Discrimination, Racism, Socio-economic-cultural, Demographic and Vital Statistics	racial segregation, racism, population characteristics, housing		AntiRacism		2023-05-08
Sentencing Project	https://www.sentencingproject.org/the-facts/#map	https://www.sentencingproject.org/	Project or Pilot			1980		The Sentencing Project		The Sentencing Project promotes effective and humane responses to crime that minimize imprisonment and criminalization of youth and adults by promoting racial, ethnic, economic, and gender justice.			1980	United States of America	Northern America	State		English	Criminal Justice, Racism, Youth, Discrimination, Law and Policy	correctional facilities, sentences and sentencing, criminal justice system, racism, youth		AntiRacism		2023-05-08
Stanford Open Policing Project	https://openpolicing.stanford.edu/data/	https://openpolicing.stanford.edu/	Dataset			1990		Stanford Computational Journalism Lab, Stanford Computational Policy Lab		Data compilation for vehicle and pedestrian traffic stops conducted by police, selected states/cities/local areas			1990- preent	United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Discrimination, Racism	arrest, racism, discrimination, police performance, vehicle		AntiRacism		2023-05-08
State Voting Bills Tracker 2021	https://www.brennancenter.org/our-work/research-reports/state-voting-bills-tracker-2021	https://www.brennancenter.org/our-work/research-reports/state-voting-bills-tracker-2021	Project or Pilot			2021		Brennan Center for Justice - New York University Law		a list of the restrictive and expansive bills that we are tracking to date			2021	United States of America	Northern America	State		English	Civil and Political Rights, Law and Policy	voting rights, election law, elections, law and legislation		AntiRacism		2023-05-08
Statements Made by Top Tech Companies on Racial Justice, BLM, and George Floyd	https://docs.google.com/spreadsheets/d/1OZx-_tm3PPyx6-ZJAST1xxOJRfn7KfYDjDT6JedrTfs/edit#gid=0	https://tpinsights.com/	Project or Pilot			2020		The Plug		Our stories move beyond popular deficit narratives to show the substantive ways that Black people are affected by and engaged with the innovation economy, including analyses of modern technologies, how and by whom they are developed, and the structures and cultures of related ecosystems. Launched in 2016 as the first daily tech newsletter, The Plug curated the top news of Black founders and innovators. Today, we investigate and report on Black tech trends, stories, and breaking news, and we do it with the analysis you won’t find elsewhere.			2020	United States of America	Northern America			English	Social Justice and Equality, Racism, Socio-economic-cultural	business, public relations, black lives matter, race relations		AntiRacism	There may be non US based companies represented.	2023-05-08
Survey on Discrimination and Hate Crime against Jews in the EU 2018	https://doi.org/10.4232/1.13264	https://fra.europa.eu/en/publication/2018/experiences-and-perceptions-antisemitism-second-survey-discrimination-and-hate	Dataset			2018		European Union Agency for Fundamental Rights (FRA)		The survey provides comparable data on the perceived extent and nature of antisemitism across a number of selected EU Member States			2018	Italy, Sweden, Slovakia, Romania, Czechia, Belgium, Austria, Denmark, Netherlands, Malta, France, Luxembourg, Poland, Portugal, Bulgaria, Finland, Latvia, Spain, Cyprus, Hungary, Ireland, Lithuania, Germany, Slovenia, Estonia, Greece, Croatia, European Union	Europe	Nation		English	Discrimination, Racism	discrimination, jewish peoples, muslims, victimization, racism	Yes	AntiRacism		2023-05-08
Swelling Anti-Asian Violence: Who Is Being Attacked Where, Weiyi Cai, Audra D. S. Burch, Jugal K. Patel, New York Times, April 3, 2021	https://www.nytimes.com/interactive/2021/04/03/us/anti-asian-attacks.html	https://www.nytimes.com/interactive/2021/04/03/us/anti-asian-attacks.html	Data Journalism					The New York Times		Using media reports from across the country, The Times found more than 110 episodes since March 2020 in which there was clear evidence of race-based hate. Includes short descriptions of episodes and links to the original media report.				United States of America	Northern America	Municipality		English	Racism, Discrimination, Health	discrimination, hate crimes, asian americans, violence, covid-19		AntiRacism		2023-05-08
United States National Lynching Data, 1883-1941. Catalog no. 2833.	https://archive.ciser.cornell.edu/studies/2833		Dataset			1883	1941	Charles Seguin, David Rigby	Cornell CISER	These data extend existing data on lynching victims to cover the 48 contiguous United States from 1883 to 1941. The data cover 38 states not included in Tolney and Beck's (1995) original data, as well as 3 additional victims in the 10 states covered by Tolney and Beck. The authors confirmed 1,319 victims from previous data and found 15 additional victims not recorded in any prior data set.			1883-1941	United States of America	Northern America	State		English	Social Justice and Equality, Discrimination, Racism	racism, racial discrimination, hate crimes, violence, african americans, lynching		AntiRacism		2023-05-08
Washington Post Police Shootings data (on GitHub)	https://t.co/MDvDyGzfjx?amp=1	https://www.washingtonpost.com/graphics/investigations/police-shootings-database/	Dataset			2015		Washington Post		The Washington Post is compiling a database of every fatal shooting in the United States by a police officer in the line of duty since Jan. 1, 2015. Data includes race of victim, whether the person was armed or was experiencing a mental health crisis. Data is manually culled from local news reports, collecting information from law enforcement websites and social media, and monitoring independent databases such as Fatal Encounters and the now-defunct Killed by Police project.			2015-present	United States of America	Northern America	State, Municipality		English	Racism, Criminal Justice, Health	police violence, police shootings, mental illness, race		AntiRacism		2023-05-08
On The Books: Jim Crow and Algorithms of Resistance	https://onthebooks.lib.unc.edu/	https://onthebooks.lib.unc.edu/	Dataset			1866	1967	University of North Carolina Chapel Hill Libraries		A text mining project with the goal of discovering Jim Crow and racially-based legislation signed into law in North Carolina between Reconstruction and the Civil Rights Movement (1866-1967). The project created text corpora (structured textual Datasets) of all North Carolina session laws from 1866-1967 (in plain text or XML), and one of all laws during the period that were identified as those likely to be Jim Crow laws (as individual plain text files, a single plain text file, or XML formats). OCR output was split into chapters and sections so individual laws (sections) could be classified. Metadata were created for each volume, chapter, and section, adding value to the data set and allowing it to be used in new ways (like our searchable laws database).			1866-1967	United States of America	Northern America	State		English	Discrimination, Racism, Law and Policy	law and legislation, racism, reconstruction, american civil war, african americans		AntiRacism		2023-05-08
Data on Racialized & Indigenous Populations in Canada	https://learn.scholarsportal.info/featured/data-on-racialized-populations/		Collection					Ontario Data Community Racialized Data Guide Working Group		This guide consists of a curated list of Datasets that include ethnicity and race variables which can be used to facilitate anti-racism research in Canada. Although not comprehensive, the intention is to provide a starting point for researchers investigating topics about anti-racism and the impact of racism.				Canada	Northern America	Nation		English	Indigenous Peoples, Racism, Discrimination	race, ethnic groups, minorities		AntiRacism		2023-05-08
My Community Explorer	https://experience.arcgis.com/experience/13a111e06ad242fba0fb62f25199c7dd/page/Page-1/		Dataset					U.S. Census Bureau		This Dashboard provides selected demographic, business, and resilience information to help users identify potentially underserved areas of their State, Counties, and communities. The data are presented in maps, interactive dashboards, and tables. Data from the American Community Survey, County Business Patterns, Nonemployer Statistics, and Community Resilience Estimates.				United States of America	Northern America	Nation, State, Municipality, Community or Neighborhood		English	Social Justice and Equality, Socio-economic-cultural, Racism	race, ethnicity, communities, neighborhoods, economics, business		AntiRacism		2023-05-08
GIS for Racial Equity	https://gis-for-racialequity.hub.arcgis.com/	https://gis-for-racialequity.hub.arcgis.com/#data-racialequity	Dataset					ESRI		Esri’s Racial Equity GIS Hub is an ongoing, continuously expanding resource hub to assist organizations working to address racial inequities. The Racial Equity GIS Hub includes data layers, maps, applications, training resources, articles on best practices, solutions, and examples of how Esri users from around the world are leveraging GIS to address racial inequities.				United States of America	Northern America			English	Health, Social Justice and Equality, Discrimination, Racism, Socio-economic-cultural, Indigenous Peoples, Civil and Political Rights	civil rights, health, racism, indigenous peoples, housing, environment, health, discrimination, climate and environmental justice, communities, education, economics, philanthropy, reparations, voting, infrastructure (water), transporation, labor force or labor supply		AntiRacism		2023-05-08
The Data Equity Hub	https://www.tableau.com/foundation/data-equity	https://www.policylink.org/our-work	Collection					PolicyLink		Data anyone can use to make an impact in their community and our nation.				United States of America	Northern America			English	Racism, Social Justice and Equality, Discrimination	discrimination, racism, communities		AntiRacism		2023-05-08
Center for Indian Country Development	https://www.minneapolisfed.org/indiancountry/resources	https://www.minneapolisfed.org/indiancountry	Dataset					Federal Reserve Bank of Minneapolis		Includes Native American Labor Market Dashboard, Native American Financial Institutions Maps, Reservation Profiles				United States of America	Northern America			English	Health, Indigenous Peoples, Discrimination, Racism, Socio-economic-cultural, Civil and Political Rights, Criminal Justice	civil rights, race, ethnicity, indigenous peoples, housing, home ownership, environment, health, racism, discrimination, climate and environmental justice, communities, neighborhoods, education, economics, criminal justice, elections, philanthropy, reparations, voting, infrastructure (water), transporation, labor force or labor supply		AntiRacism		2023-05-08
NYPD Misconduct Complaint Database	https://www.nyclu.org/en/campaigns/nypd-misconduct-database	https://www.nyclu.org/en/campaigns/nypd-misconduct-database	Dataset					New York Civil Liberties Union NYCLU - ACLU		The data is from the NYC CCRB. The updated database includes information on the race or ethnicity of the impacted person and officer, incident location, current employment status of the officer, and other data. The CCRB’s original data set also contained duplicate entries and a number of entries with many missing values. It is available on Github.				United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Discrimination	police, police citizen interactions, police violence, police brutality, race		AntiRacism		2023-05-08
Prison Policy Initiative: Race and ethnicity	https://www.prisonpolicy.org/research/race_and_ethnicity/	https://www.prisonpolicy.org/	Dataset					Prison Policy Initiative		Below, we've curated a list of virtually all the research about race and the U.S. criminal justice system that is available online.				United States of America	Northern America			English	Criminal Justice, Racism, Youth, Discrimination	police violence, racism, hate crimes, prisons, imprisonment, youth, sentences and sentencing, parole, imprisonment		AntiRacism		2023-05-08
Police Data Initiative	https://www.policedatainitiative.org/		Dataset					Police Data Initiative, National Policiing Institute		This site provides a consolidated and interactive listing of open and soon-to-be-opened data sets that more than 120 local law enforcement agencies have identified as important to their communities, and provides critical and timely resources, including technical guidance and best practices, success stories, how-to articles and links to related efforts.				United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Discrimination	deaths, suicide, arrest, police brutality, homicide		AntiRacism		2023-05-08
Mapping Police Violence	https://mappingpoliceviolence.us/		Dataset					Mapping Police Violence Inc.		We believe the data represented on this site is the most comprehensive accounting of people killed by police since 2013.				United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Discrimination	police misconduct, police shootings, mental illness, race, police violence, police brutality		AntiRacism		2023-05-08
Effects of Land Dispossession and Forced Migration on Indigenous Peoples in North America	https://osf.io/3cfum/		Dataset					Justin Farrell, Paul Berne Burow, Kathryn McConnell, Jude Bayham, Kyle Whyte, Gal Koss		A new comprehensive Datasets of land dispossession and forced migration for the vast majority of Indigenous peoples in the area currently called the contiguous United States.				United States of America, Canada, Mexico, North America	Northern America	Nation		English	Indigenous Peoples, Social Justice and Equality, Migration and Immigration	social justice, forced migration, land dispossession, climate change		AntiRacism		2023-05-08
The German Victimization Survey - Cumulation 2012-2017	https://doi.org/10.4232/1.13672		Dataset			2012	2017	German Federal Criminal Police Office (BKA)	GESIS - Leibniz Institute for the Social Sciences	Dark field survey conducted on behalf of the Federal Criminal Police Office (BKA) with the aim of collecting comprehensive information on the topics of fear of crime, victim experiences and reporting behaviour in the Federal Republic of Germany.			2012-2017	Germany	Western Europe	Nation		English	Racism, Criminal Justice, Discrimination, Law and Policy	police use of force, prejudice, discrimination, racism, policies and procedures, law enforcement		AntiRacism		2023-05-08
Guide to Finding Data about Racism and Ethnic Bias	https://iassistdata.org/community/antiracism-resources-guide/	https://iassistdata.org/	Guide and Handbook					Diversity Equity and Inclusion Data Resources Interest Group (IASSIST)	IASSIST (International Association for Social Science Information Service and Technology) 	This guide is intended to help find (a) primary and secondary data and datasets documenting racism and the Black experience internationally, as well discrimination based on indigenous, national, and cultural or ethnic origins and (b) tools, articles, and rubrics for building anti-racism into the process of working with data across the data-research lifecycle.				Global	All Regions			English	Family and Marriage, Racism, Criminal Justice, Discrimination, Law and Policy, Social Justice and Equality, Health, Youth, Indigenous Peoples, Socio-economic-cultural, Civil and Political Rights, Migration and Immigration,Opinions and Social Attitudes, Movements	arrest, black lives matter, civil rights, correctional facilities, crime rates, criminal justice, discrimination, gun control, gun violence, hate crimes, health, immigrants, immigration, imprisonment, incarceration, jail inmates, law enforcement, lynching, mass shootings, police brutality, police misconduct, police use of force, police violence, prisons, protest demonstrations, race, racial discrimination, racism, shootings, white supremacy, youth	No	AntiRacism		2026-04-23
IASSIST Representation in Data Zotero Group Library	https://www.zotero.org/groups/4892474/iassist_anti-racism_resources_interest_group/items	https://iassistdata.org/	Bibliography					Representation in Data Interest Group (IASSIST)	IASSIST (International Association for Social Science Information Service and Technology) 	An open Zotero library of resources for building anti-racism into the process of working with data across the research lifecycle and research about race in various countries.				Global	All Regions			English	Family and Marriage, Racism, Criminal Justice, Discrimination, Law and Policy, Social Justice and Equality, Health, Youth, Indigenous Peoples, Socio-economic-cultural, Civil and Political Rights, Migration and Immigration,Opinions and Social Attitudes, Movements	arrest, black lives matter, civil rights, correctional facilities, crime rates, criminal justice, discrimination, gun control, gun violence, hate crimes, health, immigrants, immigration, imprisonment, incarceration, jail inmates, law enforcement, lynching, mass shootings, police brutality, police misconduct, police use of force, police violence, prisons, protest demonstrations, race, racial discrimination, racism, shootings, white supremacy, youth	No	AntiRacism		2026-04-23
How Different Countries View Race Webinars and Essays	https://iassistdata.org/community/representation-in-data-ig/webinars/#nov2023	https://iassistdata.org/	Audiovisual, Guide and Handbook					Diversity Equity and Inclusion Data Resources Interest Group (IASSIST)	IASSIST (International Association for Social Science Information Service and Technology) 	Webinars and essays on how different countries view race: (1) “Indigenous Data: A few perspectives"; (2) “Race & Ethnicity in Latin America; (3) A Conversation About Data on Race & Ethnicity Around the World; and (4) Essays for Specific Countries				Germany, United Kingdom , United States of America, Canada	Northern America, Europe			English	Racism, Discrimination, Demographic and Vital Statistics, Law and Policy	race, ethnicity, indigenous peoples	No	AntiRacism		
Tools, articles, and rubrics for working with data through an anti-racism lens	https://iassistdata.org/community/representation-in-data-ig/ArticlesToolsRubrics-forRacialJustice.csv	https://iassistdata.org/	Guide and Handbook					Diversity Equity and Inclusion Data Resources Interest Group (IASSIST)	IASSIST (International Association for Social Science Information Service and Technology) 	A spreadsheet in csv format of tools, articles, and rubrics for building anti-racism into the process of working with data across the data-research lifecycle. The liked to resources can be filtered by title, year, stage in data-research lifecycle, discipline, skill-experience level required, type of resources, open access, country, and organization.								English	Family and Marriage, Racism, Criminal Justice, Discrimination, Law and Policy, Social Justice and Equality, Health, Youth, Indigenous Peoples, Socio-economic-cultural, Civil and Political Rights, Migration and Immigration,Opinions and Social Attitudes, Movements	arrest, black lives matter, civil rights, correctional facilities, crime rates, criminal justice, discrimination, gun control, gun violence, hate crimes, health, immigrants, immigration, imprisonment, incarceration, jail inmates, law enforcement, lynching, mass shootings, police brutality, police misconduct, police use of force, police violence, prisons, protest demonstrations, race, racial discrimination, racism, shootings, white supremacy, youth	No	AntiRacism		
How Has Gun Violence Changed in Your Neighborhood?	https://www.gunviolencearchive.org/	https://www.nytimes.com/interactive/2024/05/14/us/gun-homicides-map.html	Data Journalism			2016	2023	The New York Times		The data shows fatal shootings in several large cities in the United States, from 2016-2019, and 2020-2023 in map form. It includes the number of shootings, the change from one time period to the next, and the racial makeup of the areas where the shootings have taken place.			2016-2023	United States of America	Northern America	State, Municipality		English	Social Justice and Equality, Racism, Criminal Justice, Discrimination	gun violence, shootings, mass shootings, violence, injuries, home invasions, deaths	No	AntiRacism		2024-06-24
