Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated
Gates Millennium Scholars (GMS) Data	https://www.icpsr.umich.edu/web/ICPSR/series/00261	Dataset		1999	1999	2016	Bill and Melinda Gates Foundation	Inter university Consortium for Political and Social Research ICPSR	Includes the Gates Millennium Scholars (GMS) and the Washington State Achievement (WSA) scholars data. Both sets of data were cross-sectional and followed respondents over a period of years and longitudinal. The goal of the GMS data was to gather data on the lives of scholars and selected non-recipients in order to analyze the effects on the educational, civic, and personal lives of selected sample members. Respondents in the GMS data had to (1) be of African American, American Indian/Alaska Native, Asian American, Hispanic/Latino, or Pacific Islander background; (2) be full-time students entering college or university; (3) have a GPA of at least 3.3 on a 4.0 scale; (4) be eligible for Pell Grants; (5) be leaders in community service, extracurricular, or other activities.     The goal of the WSA data was to measure the impact of the scholarship on the life outcomes of recipient students compared to non-recipient students. The outcomes examined are (1) matriculation into a college/university, (2) type of institution of higher education, (3) if Achievers were able to eliminate the need to work for pay (other than work-study awards), and (4) if Achievers were able to eliminate/reduce the need for student loans. Respondents were students at one 16 selected high schools in Washington State as they redesigned their schools in order to increase academic achievement for all of their students. 	Quantitative			United States of America		English							
Early Learning Mentor Coach Study (ELMC), 2010-2012 [42 States]	https://www.childandfamilydataarchive.org/cfda/archives/cfda/studies/36852	Dataset	Howard, Eboni C., Rankin, Victoria E., Fishman, Mike, Hawkinson, Laura E., McGroder, Sharon M., Helsel, Fiona K., … Wille, Jessica. Early Learning Mentor Coach Study (ELMC), 2010-2012 [42 States]. Inter-university Consortium for Political and Social Research [distributor], 2017-09-21. https://doi.org/10.3886/ICPSR36852.v1	2017				Inter university Consortium for Political and Social Research ICPSR		Quantitative			United States of America				English					
Indigenous People's Survey	https://www150.statcan.gc.ca/n1/en/surveys/3250	Dataset		1991-Present			Statistics Canada	Statistics Canada	Data on the social and economic conditions of Aboriginal people in Canada. Identifies the needs of Aboriginal people and focus on issues such as health, language, employment, income, schooling, housing, and mobility. 	Quantitative	No	1991-Present	Canada		Province	Individual	English	Indigenous Peoples				2025-07-16
The Residential Schools Land Memory Atlas	https://residentialschoolsatlas.org/index.html?module=module.residential_schools	Dataset		2024					The Residential Schools Land Memory Atlas is the digital aspect of a five-year project funded by the Social Sciences and Humanities Research Council (SSHRC). The project emerged from collaborative research in partnership with the Shingwauk Residential Schools Centre (SRSC) to create the cybercartographic Lake Huron Treaty Atlas (LHTA; lhta.ca)	Mixed	No	1820-2024	Canada				English, French	Indigenous Peoples	education	No		2026-01-08
National Survey on Drug Use and Health (NSDUH) Series (1979+)	https://www.samhsa.gov/data/data-we-collect/nsduh-national-survey-drug-use-and-health	Dataset							Formerly titled National Household Survey on Drug Abuse. Strives to provide accurate data on the level and patterns of licit and illicit drug use, track trends in the use of alcohol and various types of drugs, assess the consequences of drug use and abuse, and identify groups with a high risk for drug abuse to assess and monitor the nature of drug and alcohol use and the consequences of abuse. Primarily measures drug and alcohol use incidence and prevalence among the general civilian population aged 12 and older in the United States. Questions include age at first use, as well as lifetime, annual, and past-month usage for the following drugs: alcohol, marijuana, cocaine (including crack), hallucinogens, heroin, inhalants, tobacco, pain relievers, tranquilizers, stimulants, and sedatives. Covers substance abuse treatment history and perceived need for treatment, and includes questions from the Diagnostic and Statistical Manual (DSM) of Mental Disorders that allow diagnostic criteria to be applied. Respondents were also asked about personal and family income sources and amounts, health care access and coverage, illegal activities and arrest record, problems resulting from the use of drugs, perceptions of risks, and needle-sharing. Demographic data include gender, race, age, ethnicity, educational level, job status, income level, veteran status, household composition, and population density.&nbsp;&nbsp; While geography is not available at the individual level, some cross tabulations can be found for select variables in which cell sizes are sufficient at the state level through <a href="https://rdas.samhsa.gov/#/">RDAS</a>.&nbsp; In addition <a href="https://www.samhsa.gov/data/all-reports?f[]=field_location:6313&amp;order=desc&amp;sort=field_date_printed_on_report&amp;page=0">reports</a> exist at the state level.  	Quantitative	No		United States of America				English					2026-01-08
Aboriginal and Torres Strait Islander Data Archive	https://www.atsida.edu.au/	Dataset							Archive of data sets on the aboriginal people of Australia and the Torres Strait. 	Quantitative			Australia				English					2026-01-13
World Values Survey (WVS)	https://www.worldvaluessurvey.org/wvs.jsp	Dataset			1981		World Values Survey Association	World Values Survey Association	Designed to enable a crossnational comparison of values and norms on a wide variety of topics and to monitor changes in values and attitudes across the globe. A variety of questions on religion and morality were included. Coverage includes: Albania - 1998, 2002; Algeria - 2002, 2014; Andorra - 2005, 2018; Argentina - 1991, 1995, 1999, 2006, 2013, 2017; Armenia - 1997, 2011; Australia - 1995, 2005, 2012, 2018; Austria - 1990, 1999; Azerbaijan - 1997, 2011-2012; Bahrain (2014); Bangladesh - 1996, 2002, 2018; Belarus - 1996, 2000, 2011; Belgium - 1981, 1990, 1999; Bolivia - 2017; Bosnia and Herzegovinia - 1998, 2001; Brazil - 1990, 1997, 2006, 2014, 2018; Bulgaria - 1990, 1997, 1999, 2006; Burkina Faso - 2007; Canada - 1982, 1990, 2000, 2006; Chile - 1990, 1996, 2000, 2006, 2018; China - 1990, 1995, 2001, 2006, 2012, 2018; Colombia - 1998, 2005, 2012, 2018; Croatia - 1996, 1999; Cyprus - 2006, 2011, 2019; Czech Republic - 1991, 1998, 1999; Denmark - 1981, 1990, 1999; Dominican Republic - 1998; Ecuador - 2013, 2018; Egypt - 2000, 2008, 2012, 2018; El Salvador - 1999; Estonia - 1990, 1996, 1999, 2011; Ethiopia - 2007, 2020; Finland - 1990, 1996, 2000, 2005; France - 1981, 1990, 1999, 2006; Georgia - 1996, 2008, 2014; Germany - 2006, 2013, 2017; Germany East - 1990, 1997; Germany West - 1981, 1990, 1997; Ghana - 2007, 2011; Great Britain - 1981, 1990, 1998, 1999 (also see United Kingdom); Greece - 1999, 2017; Guatemala - 2019; Hong Kong - 2005, 2013, 2018; Hungary - 1991, 1998, 1999; Iceland - 1984, 1990, 1999; India - 1990, 1996, 2001, 2006, 2014; Indonesia - 2001, 2006, 2018; Iran - 2003, 2005, 2020; Iraq - 2006, 2013, 2018; Ireland - 1981, 1990, 1999; Israel - 2001; Italy - 1981, 1990, 1999, 2005; Japan - 1990, 1995, 2000, 2005, 2010, 2019; Jordan - 2007, 2014, 2018; Kazakhstan - 2011, 2018; Kuwait - 2014; Kyrgyzstan - 2003, 2011, 2019; Lativa - 1990, 1996, 1999; Lebanon - 2013, 2018; Libya - 2014; Lithuania - 1990, 1997, 1999; Luxembourg - 1999; Macau 2019; Macedonia - 1998, 2001; Malaysia - 2006, 2011, 2018; Mali - 2007; Malta - 1983, 1991, 1999; Mexico - 1995, 1996, 2000, 2005, 2012, 2018; Moldova - 1996, 2006; Montenegro - 1996, 2001; Morocco - 2001, 2007, 2011; Myanmar 2020; Netherlands - 1981, 1990, 1999, 2006, 2012; New Zealand - 1998, 2004, 2011, 2019; Nicaragua - 2019; Nigeria - 1990, 1995, 2000, 2011, 2018; Northern Ireland - 1981, 1999 (also see United Kingdom); Norway - 1990, 1996, 2007; Pakistan - 1997, 2001, 2012, 2018; Palestine - 2013; Peru - 1995, 2001, 2006, 2012, 2018; Philippines - 1996, 2001, 2012, 2019; Poland - 1990, 1997, 1999, 2005, 2012; Portugal - 1990, 1999; Puerto Rico - 1995, 2001, 2018; Qatar- 2010; Romania - 1993, 1998, 1999, 2005, 2012, 2017; Russia - 1996, 1999, 2006, 2011, 2017; Rwanda - 2007, 2012; Saudi Arabia - 2003; Serbia - 1996, 2001, 2006, 2017; Singapore - 2002, 2012; Slovakia - 1991, 1998, 1999; Slovenia - 1992, 1995, 1999, 2005, 2011; South Africa - 1990, 1996, 2001, 2006, 2013; South Korea - 1980, 1990, 1996, 2001, 2005, 2010, 2018; Spain - 1981, 1990, 1995, 1999, 2000, 2007, 2011; Sweden - 1990, 1996, 1999, 2006, 2011; Switzerland - 1989, 1996, 2007; Taiwan - 1995, 2006, 2012, 2019; Tajikstan - 2020; Tanzania - 2001; Thailand - 2007, 2013, 2018; Trinidad and Tobago - 2006, 2010; Tunisia - 2019; Turkey - 1990, 1997, 2001, 2007, 2011, 2018; Uganda - 2001; Ukraine - 1996, 1999, 2006, 2011; United Kingdom - 2006 (also see Great Britain and Northern Ireland); United States - 1982, 1990, 1995, 2000, 2006, 2011, 2017; Uruguay - 1996, 2006, 2011; Uzbekistan - 2011; Venezuela - 1996, 2000; Vietnam - 2001, 2006, 2020; Yemen - 2014; Zambia - 2007; and Zimbabwe - 2001, 2011, 2020.  	Quantitative		1981-Present	Global									2026-01-13
Historical, Demographic, Economic, and Social Data: The United States, 1790-2002	https://www.icpsr.umich.edu/web/ICPSR/studies/2896	Dataset	Haines, Michael R., and Inter-university Consortium for Political and Social Research. Historical, Demographic, Economic, and Social Data: The United States, 1790-2002. Inter-university Consortium for Political and Social Research [distributor], 2010-05-21. https://doi.org/10.3886/ICPSR02896.v3	2010	1790	2002		Inter university Consortium for Political and Social Research ICPSR	Contains detailed county and state-level ecological and descriptive data for the United States for the years 1790 to 2002. &nbsp; Parts 1-41 contain data from the 1790-1970 censuses. They include extensive information about the social and political character of the United States, including a breakdown of population by state, race, nationality, number of families, size of the family, births, deaths, marriages, occupation, religion, and general economic condition. Parts 42 and 43 contain data from the 1840 and 1870 Censuses of Manufacturing, respectively. These files include information about the number of persons employed in various industries and the quantities of different types of manufactured products. Parts 44-50 provide county-level data from the United States Census of Agriculture for 1840 to 1900. They also include the state and national totals for the variables. The files provide data about the number, types, and prices of various agricultural products. Parts 51-57 contain data on religious bodies and church membership for 1906, 1916, 1926, 1936, and 1952, respectively. Parts 58-69 consist of data from the CITY DATA BOOKS for 1944, 1948, 1952, 1956, 1962, 1967, 1972, 1977, 1983, 1988, 1994, and 2000, respectively. These files contain information about population, climate, housing units, hotels, birth and death rates, school enrollment and education expenditures, employment in various industries, and city government finances. Parts 70-81 consist of data from the COUNTY DATA BOOKS for 1947, 1949, 1952, 1956, 1962, 1967, 1972, 1977, 1983, 1988, 1994, and 2000, respectively. These files include information about population, employment, housing, agriculture, manufacturing, retail, services, trade, banking, Social Security, local governments, school enrollment, hospitals, crime, and income. Parts 82-84 contain data from USA COUNTIES 1998. Due to the large number of variables from this source, the data were divided into into three separate data files. Data include information on population, vital statistics, school enrollment, educational attainment, Social Security, labor force, personal income, poverty, housing, trade, farms, ancestry, commercial banks, and transfer payments. Parts 85-106 provide data from the United States Census of Agriculture for 1910 to 2002. They provide data about the amount, types, and prices of various agricultural products. Also, these datasets contain extensive information on the amount, expenses, sales, values, and production of farms and machinery.		Yes	1790-2002	United States of America				English					2026-01-13
Head Start Family and Child Experiences Survey (FACES) (1997+)	https://www.childandfamilydataarchive.org/cfda/cfda/series/236	Dataset			1997			Inter university Consortium for Political and Social Research ICPSR	Periodic, ongoing longitudinal study of program performance. Successive nationally representative samples of Head Start children, their families, classrooms, and programs provide descriptive information on the population of children and families served; staff qualifications, credentials, and opinions; Head Start classroom practices and quality measures; and child and family outcomes. Includes a battery of child assessments across multiple developmental domains (cognitive, social, emotional, and physical).    Also periodically includes a special sample of American Indians and Alaskan Natives.&nbsp; Historically there has been little information about children attending Region XI Head Start programs (programs operated by federally recognized tribes); however, in 2015 the first AIAN FACES study provided a national picture of children, families, and programs in Region XI.&nbsp; AIAN FACES 2019 is the second round of this national study of Region XI Head Start children and families and their experiences in Head Start programs and classrooms. 	Quantitative	Yes	1997-Present	United States of America				English					2026-01-13
National Medical Expenditure Survey (1977+)	https://www.ahrq.gov/data/meps.html	Dataset			1977		Agency for Healthcare Research and Quality	Agency for Healthcare Research and Quality	Information on health expenditures by or on behalf of families and individuals, the financing of these expenditures, and each person's use of services.  For historical, use ICPSR.    https://www.icpsr.umich.edu/web/ICPSR/series/45	Quantitative	Yes	1977-Present	United States of America				English					2026-01-13
